NumberOfBreed,Breed
4013,Pit Bull
2349,UNKNOWN
732,Shih Tzu
647,Chihuahua
624,German Shepherd
559,Mixed/Other
520,American Pit Bull Mix / Pit Bull Mix
511,American Pit Bull Terrier/Pit Bull
482,Yorkshire Terrier
388,MIXED BREED
373,Maltese
351,MIXED
316,Rottweiler
303,Siberian Husky
282,Labrador Retriever
264,"Poodle, Standard"
221,Bull dog
190,Jack Russ
172,Cocker Spaniel
160,Labrador Retriever Crossbreed
158,TERRIER
147,Beagle
134,Golden Retriever
128,Shiba Inu
123,American Staffordshire Terrier
119,Pomeranian
119,"Bull Dog, English"
112,Boxer
109,"Bull Dog, French"
106,LARGE MIXED BREED
